Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-05-05,72.03524780273438,72.868025831844,71.28477828502723,71.43003164134032,147751200
2020-05-06,72.77845001220703,73.41029209502018,72.35237549978946,72.73729206539267,142333600
2020-05-07,73.53133392333984,73.87752315205448,73.10284357834273,73.40545163246576,115215200
2020-05-08,75.281494140625,75.33489761770407,73.86388332203197,74.19158614011312,133838400
2020-05-11,76.46610260009766,76.96129057605077,74.57999392969896,74.78875574566902,145946400
2020-05-12,75.59221649169922,77.60211807775983,75.47084560508229,77.15061452744153,162301200
2020-05-13,74.67951202392578,76.69427337454634,73.60173785754363,75.77185010542999,200622400
2020-05-14,75.13829803466797,75.19898348401253,73.19393386714296,73.91730709017112,158929200
2020-05-15,74.6940689086914,74.74019043820076,72.87350561087283,72.90749301488646,166348400
2020-05-18,76.45394897460938,76.8277733901168,75.3276309672179,76.01944652197729,135178400
2020-05-19,76.01216888427734,77.31811351260087,75.98061126581322,76.47094702256406,101729600
2020-05-20,77.49046325683594,77.56085304131686,76.83262768101243,76.8714672558423,111504800
2020-05-21,76.91272735595703,77.89340613060031,76.67483776673394,77.3520893444608,102688800
2020-05-22,77.4079360961914,77.49046741917871,76.54862805066547,76.65057545816492,81803200
2020-05-26,76.88361358642578,78.70659948141834,76.82778030514494,78.52697291852887,125522000
2020-05-27,77.21858978271484,77.3642363430493,76.00002862396322,76.7403955523751,112945200
2020-05-28,77.25257110595703,78.51240153060692,76.6165888307401,76.89331060647892,133560800
2020-05-29,77.17732238769531,77.9565214299296,76.82049167356892,77.49531352794295,153532400
2020-06-01,78.12643432617188,78.247805202115,77.00010904163223,77.13119166186011,80791200
2020-06-02,78.4881362915039,78.51241195418596,77.41764401588712,77.85943588986717,87642800
2020-06-03,78.92020416259766,79.18236942622238,78.23567058388883,78.80854502107137,104491200
2020-06-04,78.24052429199219,79.04156912077111,77.8666999148798,78.74300150300884,87560400
2020-06-05,80.46888732910156,80.52957276449304,78.46141579319185,78.49054361691735,137250400
2020-06-08,80.94467163085938,80.97865903574063,79.45424095843477,80.16547259371143,95654400
2020-06-09,83.5007553100586,83.89399586857483,80.5927130816821,80.62427070317408,147712400
2020-06-10,85.64901733398438,86.11750723835495,84.01051015507953,84.44987222819896,166651600
2020-06-11,81.53695678710938,85.2169228066109,81.43500939497191,84.7921247209598,201662400
2020-06-12,82.24091339111328,84.42558944538845,81.12915928074322,83.67794801073093,200146000
2020-06-15,83.25799560546875,83.91097154593938,80.73105294291301,80.8936931849323,138808800
2020-06-16,85.46451568603516,85.73639268013275,83.67793988645191,85.31401697994849,165428800
2020-06-17,85.34557342529297,86.27041892651324,85.22420254683476,86.20973348728414,114406400
2020-06-18,85.37957763671875,85.79709383713187,84.77029333637671,85.30189848131818,96820400
2020-06-19,84.89166259765625,86.55201562081369,83.78233079369242,86.0859555132038,264476000
2020-06-22,87.11274719238281,87.25596396315328,85.23878022993338,85.28490176382967,135445200
2020-06-23,88.9721450805664,90.3921859871706,87.93806271848383,88.35800866828109,212155600
2020-06-24,87.401611328125,89.52074989472776,87.02778688442697,88.6007564046994,192623200
2020-06-25,88.56190490722656,88.60074447868466,86.7971749374644,87.55695784935237,137522400
2020-06-26,85.84077453613281,88.67842646058456,85.69269820221506,88.45753055778336,205256800
2020-06-29,87.81912231445312,87.91379516599585,85.27033358259102,85.74853519336081,130646000
2020-06-30,88.55220794677734,88.83864890811773,87.3870502400666,87.4064663250919,140223200
2020-07-01,88.38471221923828,89.17362306010735,88.33616830453525,88.62988380492604,110737200
2020-07-02,88.38471221923828,89.92855390147346,88.27063068613485,89.29257157809708,114041600
2020-07-06,90.7490234375,91.21751333373977,89.78290840638297,89.81446602565468,118655600
2020-07-07,90.46742248535156,91.90687927040253,90.35576335568992,91.12768033499084,112424400
2020-07-08,92.57442474365234,92.60598235802769,91.35828614347145,91.4456770300409,117092000
2020-07-09,92.9725341796875,93.52112558076603,91.92388788228862,93.46772209132743,125642800
2020-07-10,93.13516235351562,93.19342541681863,91.9554408840775,92.56714748957603,90257200
2020-07-13,92.70552062988281,97.05302710538204,92.491906663148,94.44112299776556,191649200
2020-07-14,94.23965454101562,94.43141523515344,91.15197845498895,92.08652848703908,170989200
2020-07-15,94.88776397705078,96.36606058527201,93.6886189450088,96.11603683855265,153198000
2020-07-16,93.7201919555664,94.57707031640611,93.12061934107113,93.75903153718914,110577600
2020-07-17,93.53083038330078,94.32702308898628,93.05748097078398,94.17167220899177,92186800
2020-07-20,95.50188446044922,95.64024903517041,93.27351698417317,93.61821352696963,90318000
2020-07-21,94.18379974365234,96.36847551090202,93.93377603549384,96.29322616043909,103433200
2020-07-22,94.44839477539062,95.13049855916786,93.79784860710124,93.88523208886058,89001600
2020-07-23,90.14945983886719,94.2590771438679,89.3387030351463,94.18139798224502,197004400
2020-07-24,89.92610931396484,90.27080586872148,86.55685253817205,88.34586551167968,185438800
2020-07-27,92.05740356445312,92.1496466394303,90.76602273844958,90.98934105986477,121214000
2020-07-28,90.54512023925781,91.80495076068121,90.54026066225798,91.62774658169793,103625600
2020-07-29,92.28068542480469,92.46517148705692,90.99172759233738,91.02813736570592,90329200
2020-07-30,93.39732360839844,93.50170078916014,91.04515531955397,91.45295970570953,158130000
2020-07-31,103.17497253417969,103.32547125877302,97.89776098025088,99.897958367961,374336800
2020-08-03,105.77471923828125,108.39632721665906,104.76006048509976,105.05862810128014,308151200
2020-08-04,106.48108673095703,107.57342450118693,105.2406726553267,105.96404566778588,173071600
2020-08-05,106.8670654296875,107.18748634754088,105.73588787997431,106.20195534302388,121776800
2020-08-06,110.59557342529297,111.09076870650271,106.60975774089576,107.19961845957583,202428800
2020-08-07,108.08110046386719,110.57368961748969,107.28347223155788,110.11651110240133,198045600
2020-08-10,109.65204620361328,110.67096868829299,106.99895752533313,109.52802230986417,212403600
2020-08-11,106.39099884033203,109.41371732342775,106.13079507349751,108.91520246878905,187902400
2020-08-12,109.9268569946289,110.18462665624196,107.28835808571321,107.48289870612909,165598000
2020-08-13,111.87228393554688,112.87661632039004,110.8193126888657,111.30810579171875,210082000
2020-08-14,111.77259826660156,111.86257349701444,109.96090796646529,111.69721321294485,165565200
2020-08-17,111.48075103759766,112.92037661537533,110.85335133570575,112.89605718665909,119561600
2020-08-18,112.40969848632812,112.83526251521093,110.89712204110621,111.23271086271058,105633600
2020-08-19,112.55074310302734,113.96604930230188,112.45590697529136,112.81824198590108,145538000
2020-08-20,115.0481948852539,115.1624895192386,112.57505670786055,112.59208104980983,126907200
2020-08-21,120.97689819335938,121.46082285500046,115.9965810964379,116.00873709870399,338054800
2020-08-24,122.423828125,125.27146481367004,120.5562117393656,125.18634310109493,345937600
2020-08-25,121.41948699951172,121.76480505707879,119.69534572328152,121.29547053607867,211495600
2020-08-26,123.07069396972656,123.52787254916589,121.66997788314622,122.73753929165063,163022400
2020-08-27,121.59945678710938,124.00693190797273,120.45407621046918,123.67377724193759,155552400
2020-08-28,121.4024658203125,122.99285390087189,121.17873748616431,122.57458499713601,187630000
2020-08-31,125.51950073242188,127.42603418683149,122.56244509573105,124.09934102961832,225702700
2020-09-01,130.51927185058594,131.12236700060433,126.96885769324331,129.13801430731166,151948100
2020-09-02,127.81513214111328,134.21561800557666,123.53517911659272,133.8362586004146,200119000
2020-09-03,117.58212280273438,125.32495545599747,117.21249271726687,123.44761726135523,257599600
2020-09-04,117.65994262695312,120.32518728542867,107.86467480854796,116.79422439020836,332607200
2020-09-08,109.74200439453125,115.74367048212395,109.60582451795271,110.84117266155697,231366600
2020-09-09,114.1192398071289,115.88958571714265,112.1154437280054,114.06087912016324,176940500
2020-09-10,110.39373016357422,117.21248334746296,109.43074171443638,117.07630346258478,182274400
2020-09-11,108.94438934326172,112.08627097984936,106.9989538192749,111.44427369473487,180860300
2020-09-14,112.21273040771484,112.76717927863528,109.72257511673861,111.59019158497078,140150100
2020-09-15,112.38782501220703,115.58806773554421,110.51047920250615,115.10170879439112,184642000
2020-09-16,109.07083892822266,112.83525930246253,108.98329789268679,112.08626989830371,154679000
2020-09-17,107.32968139648438,109.13893714718215,105.74415401119464,106.72660109375049,178011000
2020-09-18,103.92516326904297,107.85494396114845,103.19562493954624,107.38804358616923,287104900
2020-09-21,107.07677459716797,107.18377414626174,100.28720125318382,101.68791722586771,195713800
2020-09-22,108.75956726074219,109.78092384803477,106.18187120745131,109.60583435939168,183055400
2020-09-23,104.19751739501953,109.05137639314981,103.85706028034124,108.5747468223456,150718700
2020-09-24,105.26753234863281,107.24214849866884,102.13537952254174,102.30073978447857,167743300
2020-09-25,109.21676635742188,109.37240478609057,104.73253617357567,105.47180386725442,149981400
2020-09-28,111.82364654541016,112.17382557575709,109.70312127108637,111.8722854078883,137672400
2020-09-29,110.97737884521484,112.16409584063497,110.47156881534237,111.42483559860969,99382200
2020-09-30,112.65044403076172,114.0608892683136,110.52019713326597,110.68555737521241,142675200
2020-10-01,113.60371398925781,114.50834184995564,112.66990578164197,114.430522644009,116120400
2020-10-02,109.93655395507812,112.22244654459766,109.15838422824464,109.81010332254509,144712000
2020-10-05,113.32161712646484,113.46752627225055,110.45210275141814,110.80228173280487,106243800
2020-10-06,110.07274627685547,112.95198998188178,109.18756954507073,112.5434428788478,161498200
2020-10-07,111.94036865234375,112.39754721573827,111.01628226939263,111.49291934511135,96849000
2020-10-08,111.83336639404297,113.22435314166701,111.46372888130158,113.07844398775582,83477200
2020-10-09,113.77880096435547,113.80798131062522,111.78472652844798,112.13490552618049,100506900
